slice,pairs,examples,metric,mean_delta,ci_low,ci_high,sign_positive,sign_negative,sign_p_value
c100x3_eosx,300,100,delta_non_target_changed,0.03333333333333333,-0.02,0.08666666666666667,36,26,0.25285439418811073
c100x3_eosx,300,100,delta_non_target_change_count,1.1366666666666667,0.03658333333333341,2.2866666666666666,44,31,0.16542794172425662
c100x3_eosx,300,100,delta_normalized_answer_changed,0.013333333333333334,-0.02666666666666667,0.05333333333333334,18,14,0.5966148958541453
c100x3_eosx,300,100,delta_answer_changed,0.01,-0.013333333333333334,0.03333333333333333,6,3,0.5078125
