dataset,semantic_label,examples,timed_pairs,a3_exact_a2_rate,answer_or_correctness_change_rate,median_a2_latency_s,median_a3_latency_s,mean_runtime_gain,median_runtime_gain,p10_runtime_gain,p90_runtime_gain,example_bootstrap_gain_ci95_low,example_bootstrap_gain_ci95_high,positive_runtime_gain_rate,mean_speedup,mean_generation_reference_opportunity,mean_total_row_removal_fraction,profitability_pass
gsm8k,aggressive_c090_age4_s8,10,50,1.0,0.0,3.3425204469822347,3.4521178734721616,-0.03195423016321986,-0.034569043378881115,-0.03756890565296393,-0.023829321986828907,-0.03589606292212344,-0.026876828337227918,0.0,0.9690876526623826,0.4787133588073671,0.2004610942948427,0
gsm8k,safe_c095_s2,10,50,1.0,0.0,3.409956076531671,3.5267819029977545,-0.03128442660592354,-0.03412063503950835,-0.03722287719279878,-0.016108408578917953,-0.03449593624652098,-0.027007863109943284,0.02,0.9697404245076278,0.47801061767953157,0.19994695267906282,0
humaneval,aggressive_c090_age4_s8,5,25,1.0,0.0,7.149659521877766,7.096295139985159,0.01006903547961354,0.006069730499227544,0.0017761405206982554,0.030150959899795993,0.0035942424619531585,0.020403556809519108,1.0,1.0102836536830155,0.4962208465689514,0.2535358993814675,1
humaneval,safe_c095_s2,5,25,1.0,0.0,7.7111387508921325,7.654212759109214,0.009631434855973895,0.005303691842054592,0.0016770049632818475,0.029368602085030115,0.0033062804911864105,0.019816151697688432,1.0,1.0098358036502266,0.49086984578502646,0.25043727115659925,1
math500,aggressive_c090_age4_s8,10,50,1.0,0.0,3.113998386543244,3.224345446913503,-0.032020263201496715,-0.03401461848180665,-0.036393478724570175,-0.027761396818321286,-0.03490570304373189,-0.027603955762343726,0.0,0.9690092949439982,0.4822148556468073,0.2202135703496428,0
math500,safe_c095_s2,10,50,1.0,0.0,3.356306364061311,3.4713898255722597,-0.03146158047315071,-0.034456541366357785,-0.036710950142827416,-0.01493275488926966,-0.03441413127377694,-0.027155104666656514,0.02,0.9695601460995366,0.4766369422643049,0.21767859123453076,0
pooled,aggressive_c090_age4_s8,25,125,1.0,0.0,3.3034563129767776,3.4329173639416695,-0.023575990249963926,-0.0330748564965373,-0.036475535550140534,0.005948628761977906,-0.03016930445109213,-0.016079486949176387,0.2,0.9772955097791554,0.48361545509546,0.21897704573408763,0
pooled,safe_c095_s2,25,125,1.0,0.0,3.4064819919876754,3.524468593997881,-0.023172115860434918,-0.033237853132474626,-0.03685485748818076,0.005754418106642085,-0.029480128031248012,-0.01582924965748897,0.216,0.9776873889729109,0.4800329931345398,0.21713767179675733,0
