run,target,signal,orientation,eval_rows,base_regret_rate,auroc,average_precision,top_k,topk_realized_regret,topk_lift,features
llada_gsm8k,all_trace_regret,learned_trace_predictor,raw,105600,0.3975189393939394,0.8872626102978127,0.8021074040120002,100,0.86,2.1634189337271903,"confidence,entropy,margin,kl,top1_flip,runlength,t_frac,local_mask_ratio,context_volatility"
llada_gsm8k,all_trace_regret,confidence,inverted,105600,0.3975189393939394,0.8863860194471678,0.8054222832652175,100,0.86,2.1634189337271903,confidence
llada_gsm8k,all_trace_regret,entropy,raw,105600,0.3975189393939394,0.5,0.3975189393939394,100,0.25,0.6289008528276716,entropy
llada_gsm8k,all_trace_regret,margin,inverted,105600,0.3975189393939394,0.873103690085248,0.7558568169566721,100,0.76,1.9118585925961218,margin
llada_gsm8k,all_trace_regret,kl,raw,105600,0.3975189393939394,0.5783714209085742,0.41713168227186886,100,0.19,0.47796464814903045,kl
llada_gsm8k,all_trace_regret,top1_flip,raw,105600,0.3975189393939394,0.5726143862315438,0.4513883914757252,100,0.53,1.3332698079946639,top1_flip
llada_gsm8k,all_trace_regret,runlength,inverted,105600,0.3975189393939394,0.6941687136681612,0.559296462215225,100,0.24,0.6037448187145648,runlength
llada_gsm8k,all_trace_regret,right_boundary_nearness,raw,105600,0.3975189393939394,0.5830687805068084,0.45881915553778635,100,0.48,1.2074896374291295,right_boundary_nearness
llada_gsm8k,all_trace_regret,edge_boundary_nearness,raw,105600,0.3975189393939394,0.5151056096499029,0.41192191214365387,100,0.4,1.0062413645242747,edge_boundary_nearness
llada_gsm8k,early_trace_regret,learned_trace_predictor,raw,78400,0.45823979591836733,0.8739946012431768,0.8183855406275482,100,0.88,1.9203919167176975,"confidence,entropy,margin,kl,top1_flip,runlength,t_frac,local_mask_ratio,context_volatility"
llada_gsm8k,early_trace_regret,confidence,inverted,78400,0.45823979591836733,0.8731765532825212,0.8209566205744309,100,0.87,1.8985692813004509,confidence
llada_gsm8k,early_trace_regret,entropy,raw,78400,0.45823979591836733,0.5,0.45823979591836733,100,0.25,0.5455658854311641,entropy
llada_gsm8k,early_trace_regret,margin,inverted,78400,0.45823979591836733,0.8584105243582071,0.7766546183569887,100,0.72,1.5712297500417525,margin
llada_gsm8k,early_trace_regret,kl,raw,78400,0.45823979591836733,0.5559079174144675,0.46431928470539263,100,0.24,0.5237432500139175,kl
llada_gsm8k,early_trace_regret,top1_flip,raw,78400,0.45823979591836733,0.5645886673744832,0.5034132425379545,100,0.66,1.4402939375382733,top1_flip
llada_gsm8k,early_trace_regret,runlength,inverted,78400,0.45823979591836733,0.6799753956319692,0.6005466024599457,100,0.42,0.9165506875243556,runlength
llada_gsm8k,early_trace_regret,right_boundary_nearness,raw,78400,0.45823979591836733,0.6121470823346544,0.541302851056525,100,0.48,1.047486500027835,right_boundary_nearness
llada_gsm8k,early_trace_regret,edge_boundary_nearness,inverted,78400,0.45823979591836733,0.49110929551681015,0.4530738946493198,100,0.52,1.1347770416968213,edge_boundary_nearness
llada_math500,all_trace_regret,learned_trace_predictor,raw,105600,0.4293465909090909,0.9014622676527343,0.8472797763719051,100,0.91,2.1194997684113015,"confidence,entropy,margin,kl,top1_flip,runlength,t_frac,local_mask_ratio,context_volatility"
llada_math500,all_trace_regret,confidence,inverted,105600,0.4293465909090909,0.8994487060900132,0.8470102382904484,100,0.88,2.0496261496724677,confidence
llada_math500,all_trace_regret,entropy,raw,105600,0.4293465909090909,0.5,0.4293465909090909,100,0.17,0.3959505061867267,entropy
llada_math500,all_trace_regret,margin,inverted,105600,0.4293465909090909,0.8868259296575949,0.7993811105341562,100,0.8,1.8632964997022432,margin
llada_math500,all_trace_regret,kl,raw,105600,0.4293465909090909,0.569679491058408,0.4408065230422794,100,0.15,0.3493680936941706,kl
llada_math500,all_trace_regret,top1_flip,raw,105600,0.4293465909090909,0.5787404297909884,0.4876719531174675,100,0.61,1.4207635810229604,top1_flip
llada_math500,all_trace_regret,runlength,inverted,105600,0.4293465909090909,0.6950025937573343,0.5929642935124501,100,0.31,0.7220273936346192,runlength
llada_math500,all_trace_regret,right_boundary_nearness,raw,105600,0.4293465909090909,0.5817835798925124,0.49629964667422044,100,0.53,1.2344339310527361,right_boundary_nearness
llada_math500,all_trace_regret,edge_boundary_nearness,raw,105600,0.4293465909090909,0.5123946265712216,0.4456052943520791,100,0.57,1.3275987560378482,edge_boundary_nearness
llada_math500,early_trace_regret,learned_trace_predictor,raw,78400,0.4868877551020408,0.8919740862809744,0.8594050831509371,100,0.93,1.9100911662999058,"confidence,entropy,margin,kl,top1_flip,runlength,t_frac,local_mask_ratio,context_volatility"
llada_math500,early_trace_regret,confidence,inverted,78400,0.4868877551020408,0.8901512244713151,0.8599466884394877,100,0.91,1.8690139369171122,confidence
llada_math500,early_trace_regret,entropy,raw,78400,0.4868877551020408,0.5,0.4868877551020408,100,0.17,0.34915644975374627,entropy
