target,probe,train_rows,eval_rows,positive_rate,accuracy,brier,auc,average_precision,skipped
all_trace_regret,all_trace_regret/logits,13680,13680,0.3142543859649123,0.816812865497076,0.12641424001498083,0.9067319781122822,0.7631167382791152,
all_trace_regret,all_trace_regret/layer_12_hidden,13680,13680,0.3142543859649123,0.6733918128654971,0.20625439211908903,0.7333210195889456,0.5468999757226236,
all_trace_regret,all_trace_regret/layer_12_hidden_dynamics,13680,13680,0.3142543859649123,0.5592105263157895,0.24504429006182396,0.6660587902194948,0.46215092035411737,
all_trace_regret,all_trace_regret/layer_12_hidden_dynamics_plus_logits,13680,13680,0.3142543859649123,0.8155701754385964,0.12661455870515945,0.9059452349813789,0.7596701933939674,
all_trace_regret,all_trace_regret/layer_12_hidden_plus_logits,13680,13680,0.3142543859649123,0.7996345029239766,0.13877040127560286,0.8843097182942096,0.7164769402899462,
all_trace_regret,all_trace_regret/layer_16_hidden,13680,13680,0.3142543859649123,0.6755116959064328,0.20934825522219058,0.7032680692482733,0.5170260121456347,
all_trace_regret,all_trace_regret/layer_16_hidden_dynamics,13680,13680,0.3142543859649123,0.5618421052631579,0.24468978609027495,0.6665611220573505,0.46671206278300936,
all_trace_regret,all_trace_regret/layer_16_hidden_dynamics_plus_logits,13680,13680,0.3142543859649123,0.8133771929824561,0.12904977165111378,0.9044788926774854,0.7592118890929737,
all_trace_regret,all_trace_regret/layer_16_hidden_plus_logits,13680,13680,0.3142543859649123,0.7980994152046783,0.13851274020518747,0.8860467100543904,0.7189702110074154,
all_trace_regret,all_trace_regret/layer_20_hidden,13680,13680,0.3142543859649123,0.7002923976608187,0.19868242419394444,0.7386206161390043,0.5648571476440825,
all_trace_regret,all_trace_regret/layer_20_hidden_dynamics,13680,13680,0.3142543859649123,0.6405701754385965,0.2193636900673939,0.6621227065372122,0.46138185271579507,
all_trace_regret,all_trace_regret/layer_20_hidden_dynamics_plus_logits,13680,13680,0.3142543859649123,0.8161549707602339,0.1276218818033746,0.9047028758692987,0.7550085259404125,
all_trace_regret,all_trace_regret/layer_20_hidden_plus_logits,13680,13680,0.3142543859649123,0.8064327485380117,0.13186369762725164,0.8919084466409823,0.7232000444182999,
all_trace_regret,all_trace_regret/layer_24_hidden,13680,13680,0.3142543859649123,0.7081140350877193,0.1893402198679577,0.7782409193759943,0.5681939618657648,
all_trace_regret,all_trace_regret/layer_24_hidden_dynamics,13680,13680,0.3142543859649123,0.6011695906432749,0.2304674146985731,0.6317677644669821,0.4112282329961899,
all_trace_regret,all_trace_regret/layer_24_hidden_dynamics_plus_logits,13680,13680,0.3142543859649123,0.8105994152046784,0.12920135690776804,0.9045820692590347,0.7740812796630412,
all_trace_regret,all_trace_regret/layer_24_hidden_plus_logits,13680,13680,0.3142543859649123,0.806359649122807,0.13998308351510308,0.8916366193698374,0.725401889996459,
all_trace_regret,all_trace_regret/layer_28_hidden,13680,13680,0.3142543859649123,0.7187134502923976,0.19108569476290274,0.7706051456524288,0.5683557600082426,
all_trace_regret,all_trace_regret/layer_28_hidden_dynamics,13680,13680,0.3142543859649123,0.6283625730994152,0.22771456477520685,0.685114917164033,0.4512097845258952,
all_trace_regret,all_trace_regret/layer_28_hidden_dynamics_plus_logits,13680,13680,0.3142543859649123,0.814546783625731,0.12684777721479,0.90602888463239,0.7604004563590708,
all_trace_regret,all_trace_regret/layer_28_hidden_plus_logits,13680,13680,0.3142543859649123,0.8002923976608187,0.13973795235274108,0.8829409238566499,0.7039275669764554,
all_trace_regret,all_trace_regret/layer_32_hidden,13680,13680,0.3142543859649123,0.6624269005847954,0.22628365816774243,0.6657703123656749,0.4556315637095775,
all_trace_regret,all_trace_regret/layer_32_hidden_dynamics,13680,13680,0.3142543859649123,0.5465643274853801,0.24586200650048262,0.5757919769681901,0.3423220230041175,
all_trace_regret,all_trace_regret/layer_32_hidden_dynamics_plus_logits,13680,13680,0.3142543859649123,0.8172514619883041,0.12580046940744455,0.906825608194457,0.7638704387716875,
all_trace_regret,all_trace_regret/layer_32_hidden_plus_logits,13680,13680,0.3142543859649123,0.7929824561403509,0.14570905829731742,0.8614579775867537,0.6523156571593437,
all_trace_regret,all_trace_regret/layer_4_hidden,13680,13680,0.3142543859649123,0.6444444444444445,0.23158789252141854,0.6868875409231772,0.4454108000654965,
all_trace_regret,all_trace_regret/layer_4_hidden_dynamics,13680,13680,0.3142543859649123,0.5336988304093567,0.23371365712478953,0.5772180008097911,0.33575278122024355,
all_trace_regret,all_trace_regret/layer_4_hidden_dynamics_plus_logits,13680,13680,0.3142543859649123,0.8085526315789474,0.13010823309549877,0.9035019262480107,0.7735341589754829,
all_trace_regret,all_trace_regret/layer_4_hidden_plus_logits,13680,13680,0.3142543859649123,0.7880116959064327,0.14386664369315286,0.8771730529152045,0.7038331338286864,
all_trace_regret,all_trace_regret/layer_8_hidden,13680,13680,0.3142543859649123,0.6676169590643275,0.2122039116719689,0.717970422167775,0.5229859352350972,
all_trace_regret,all_trace_regret/layer_8_hidden_dynamics,13680,13680,0.3142543859649123,0.5818713450292398,0.2252893914156098,0.653104512917889,0.4085907816880304,
all_trace_regret,all_trace_regret/layer_8_hidden_dynamics_plus_logits,13680,13680,0.3142543859649123,0.810891812865497,0.12898286189262942,0.9025965461657923,0.7589233063912059,
